# LET [MeV/cm], E [MeV], beta 
29.6976,16.9874,0.188413
29.6622,17.0123,0.188547
29.6268,17.0372,0.188682
29.5915,17.0621,0.188816
29.5564,17.087,0.18895
29.5213,17.1119,0.189084
29.4863,17.1368,0.189217
29.4514,17.1617,0.189351
29.4166,17.1866,0.189485
29.3819,17.2115,0.189618
29.3472,17.2364,0.189752
29.3127,17.2613,0.189885
29.2782,17.2862,0.190018
29.2439,17.3111,0.190151
29.2096,17.336,0.190284
29.1754,17.3609,0.190417
29.1414,17.3858,0.19055
29.1074,17.4107,0.190683
29.0734,17.4356,0.190815
29.0396,17.4605,0.190948
29.0059,17.4854,0.19108
28.9722,17.5104,0.191212
28.9387,17.5353,0.191344
28.9052,17.5602,0.191476
28.8718,17.5851,0.191608
28.8385,17.61,0.19174
28.8053,17.6349,0.191872
28.7721,17.6598,0.192004
28.7391,17.6847,0.192135
28.7061,17.7096,0.192267
28.6732,17.7345,0.192398
28.6404,17.7594,0.192529
28.6077,17.7843,0.19266
28.5751,17.8092,0.192792
28.5426,17.8341,0.192923
28.5101,17.859,0.193053
28.4777,17.8839,0.193184
28.4454,17.9088,0.193315
28.4132,17.9337,0.193445
28.381,17.9586,0.193576
28.349,17.9835,0.193706
28.317,18.0084,0.193836
28.2851,18.0333,0.193967
28.2533,18.0582,0.194097
28.2215,18.0831,0.194227
28.1899,18.108,0.194357
28.1583,18.1329,0.194486
28.1268,18.1578,0.194616
28.0954,18.1827,0.194746
28.064,18.2076,0.194875
28.0328,18.2325,0.195005
28.0016,18.2574,0.195134
27.9704,18.2823,0.195263
27.9394,18.3072,0.195392
27.9084,18.3321,0.195521
27.8776,18.357,0.19565
27.8468,18.3819,0.195779
27.816,18.4068,0.195908
27.7854,18.4317,0.196036
27.7548,18.4566,0.196165
27.7243,18.4815,0.196293
27.6938,18.5065,0.196422
27.6635,18.5314,0.19655
27.6332,18.5563,0.196678
27.603,18.5812,0.196806
27.5728,18.6061,0.196934
27.5428,18.631,0.197062
27.5128,18.6559,0.19719
27.4829,18.6808,0.197317
27.453,18.7057,0.197445
27.4233,18.7306,0.197573
27.3935,18.7555,0.1977
27.3639,18.7804,0.197827
27.3344,18.8053,0.197955
27.3049,18.8302,0.198082
27.2755,18.8551,0.198209
27.2461,18.88,0.198336
27.2168,18.9049,0.198463
27.1876,18.9298,0.198589
27.1585,18.9547,0.198716
27.1294,18.9796,0.198843
27.1004,19.0045,0.198969
27.0715,19.0294,0.199096
27.0426,19.0543,0.199222
27.0138,19.0792,0.199348
26.9851,19.1041,0.199474
26.9564,19.129,0.1996
26.9279,19.1539,0.199726
26.8993,19.1788,0.199852
26.8709,19.2037,0.199978
26.8425,19.2286,0.200104
26.8142,19.2535,0.200229
26.7859,19.2784,0.200355
26.7577,19.3033,0.20048
26.7296,19.3282,0.200606
26.7016,19.3531,0.200731
26.6736,19.378,0.200856
26.6456,19.4029,0.200981
26.6178,19.4278,0.201106
26.59,19.4527,0.201231
26.5623,19.4776,0.201356
26.5346,19.5026,0.201481
26.507,19.5275,0.201605
26.4795,19.5524,0.20173
26.452,19.5773,0.201854
26.4246,19.6022,0.201979
26.3972,19.6271,0.202103
26.3699,19.652,0.202227
26.3427,19.6769,0.202351
26.3156,19.7018,0.202475
26.2885,19.7267,0.202599
26.2614,19.7516,0.202723
26.2344,19.7765,0.202847
26.2075,19.8014,0.202971
26.1807,19.8263,0.203094
26.1539,19.8512,0.203218
26.1272,19.8761,0.203341
26.1005,19.901,0.203465
26.0739,19.9259,0.203588
26.0474,19.9508,0.203711
26.0209,19.9757,0.203834
25.9944,20.0006,0.203957
25.9681,20.0255,0.20408
25.9418,20.0504,0.204203
25.9155,20.0753,0.204326
25.8893,20.1002,0.204448
25.8632,20.1251,0.204571
25.8371,20.15,0.204694
25.8111,20.1749,0.204816
25.7852,20.1998,0.204938
25.7593,20.2247,0.205061
25.7334,20.2496,0.205183
25.7077,20.2745,0.205305
25.6819,20.2994,0.205427
25.6563,20.3243,0.205549
25.6307,20.3492,0.205671
25.6051,20.3741,0.205793
25.5796,20.399,0.205914
25.5542,20.4239,0.206036
25.5288,20.4488,0.206157
25.5035,20.4737,0.206279
25.4782,20.4986,0.2064
25.453,20.5236,0.206522
25.4279,20.5485,0.206643
25.4028,20.5734,0.206764
25.3777,20.5983,0.206885
25.3527,20.6232,0.207006
25.3278,20.6481,0.207127
25.3029,20.673,0.207248
25.2781,20.6979,0.207368
25.2533,20.7228,0.207489
